tlr_m1;tlr_m2;tlr_m3;tlr_m4;;tlp_m1;tlp_m2;tlp_m3;tlp_m4;;tr_m1;tr_m2;tr_m3;tr_m4;;tc_m1;tc_m2;tc_m3;tc_m4
425.00;425.00;425.00;427.00;;497;499;497;499;;72;74;72;72;;61;67;63;63
1.00;1.00;1.00;1.00;;23;19;22;17;;22;18;21;16;;45;53;53;21
7.00;7.00;7.00;7.00;;65;67;75;77;;58;60;68;70;;-20;-18;-26;-30
136.00;136.00;136.00;136.00;;364;364;364;374;;228;228;228;238;;60;72;44;42
38.00;38.00;38.00;38.00;;52;52;52;52;;14;14;14;14;;244;68;186;186
1.00;1.00;1.00;1.00;;57;59;63;65;;56;58;62;64;;111;117;75;55
100.00;100.00;;;;156;146;;;;56;46;;;;28;30;;
2.00;2.00;2.00;2.00;;208;184;172;174;;206;182;170;172;;168;168;144;124
2.00;1.00;2.00;2.00;;236;238;240;242;;234;237;238;240;;122;122;72;68
94.00;92.00;--;92.00;;112;190;--;198;;18;98;--;106;;-44;14;;-42
387.00;95.00;393.00;393.00;;599;601;653;615;;212;506;260;222;;103;87;79;75
249.00;170.00;92.00;124.00;;283;278;240;230;;34;108;148;106;;0;166;74;26
9.00;3.00;1.00;1.00;;21;23;25;21;;12;20;24;20;;129;163;53;75
213.00;263.00;291.00;197.00;;331;325;343;349;;118;62;52;152;;143;113;-203;-249
386.00;211.00;221.00;276.00;;641;686;326;316;;255;475;105;40;;511;791;546;556
256.00;196.00;191.00;201.00;;511;511;511;276;;255;315;320;75;;134;194;-151;49
20.00;19.00;110.00;110.00;;225;270;230;285;;205;251;120;175;;161;26;86;41
1.00;200.00;236.00;236.00;;326;326;330;326;;325;126;94;90;;220;220;30;40
48.00;46.00;70.00;70.00;;392;392;412;408;;344;346;342;338;;368;364;132;94
236.00;322.00;337.00;297.00;;701;702;702;347;;465;380;365;15;;56;52;52;97
2.00;10.00;14.00;2.00;;62;58;70;68;;60;48;56;66;;72;82;80;72
34.00;34.00;32.00;26.00;;86;74;76;64;;52;40;44;38;;21;117;119;117
173.00;118.00;173.00;113.00;;253;248;208;148;;80;130;35;35;;31;336;1;16
91.00;31.00;;;;116;116;--;--;;25;85;;;;-4;101;;
