cn_m1;cn_m2;cn_m3;cn_m4
74.98;75.18;73.09;73.40
74.51;74.79;73.09;73.19
80.20;80.66;79.10;79.42
64.27;67.63;60.80;62.67
59.03;65.35;65.08;58.68
43.96;44.41;41.88;41.62
66.62;66.99;63.66;63.66
87.17;90.21;84.81;87.45
84.36;87.30;78.76;78.25
46.12;56.19;;46.88
45.10;55.80;41.52;44.31
37.47;44.84;41.73;45.55
40.25;44.79;42.61;43.97
54.35;58.26;57.15;57.72
67.21;75.98;73.02;82.16
46.08;50.92;46.73;53.57
58.30;64.14;59.50;59.71
45.49;51.64;42.28;48.78
44.94;52.40;43.59;44.02
65.79;68.55;46.18;67.04
83.55;81.82;78.93;78.14
51.61;52.00;49.01;49.23
40.83;42.43;40.25;40.87
74.93;74.93;74.93;74.93
38.99;40.79;39.93;40.45
37.49;49.11;36.87;37.25
55.28;60.69;54.16;54.16
;;;
