ntc_rc_2014;tc_rc_2014;ntc_rc_2015;tc_rc_2015;ntc_rc_2016;tc_rc_2016;ntc_rc_2017;tc_rc_2017;;ntc_rc_2018;tc_rc_2018
0.3;0.7;16;1.08;2.58;1.71;8.06;0.61;2018;10.48;1.16
18.46;5.08;1.25;0.08;9.05;0.27;7.56;0.6;2018;10.75;0.57
1.08;0.06;0.19;0.03;;;2.84;0.09;2018;33.84;21.59
0.19;0.1;12.53;0;;;41.07;35.25;2018;1.53;0
10.12;0.24;14.6;0.52;;;7.66;6.4;2018;7.87;0.82
9.8;0.67;13.66;0.28;;;4.73;0.76;2018;16.52;4.6
0.17;0;1;0.11;;;18.53;8.28;2018;1.56;0.12
0.57;0;9.41;0.35;;;1.76;0.48;2018;8.79;0.27
13.68;0.53;24.87;0.28;;;26.14;8.85;2018;29.39;0.34
0.19;0.03;2.63;0.16;;;15.61;0.41;;;
10.96;0.59;0.5;0.17;;;;;;;
;;5.44;0.16;;;;;;;
;;0.84;0.44;;;;;;;
;;8.09;0.73;;;;;;;
;;14.31;1.17;;;;;;;
;;0.51;0.03;;;;;;;
;;0.54;0;;;;;;;
;;4.06;0;;;;;;;
;;2.6;0.27;;;;;;;
;;19.56;1.06;;;;;;;
;;44.23;18.26;;;;;;;
;;1.34;0.06;;;;;;;
;;0.73;0;;;;;;;
;;50.84;44.84;;;;;;;
;;5.3;0.21;;;;;;;
;;1.04;0.48;;;;;;;
;;0.24;0.03;;;;;;;
;;64.67;42.76;;;;;;;
;;23.5;21.78;;;;;;;
;;49.36;41.48;;;;;;;
;;3.73;0.73;;;;;;;
